Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Haier,90,5.0,1.0,541.48,2025,32999,67000,50,5.0,3.9,528,71
Panasonic,150,3.0,1.5,859.325,2025,33800,61900,45,1.0,4.2,22368,2199
Voltas,150,5.0,1.5,859.325,2024,32390,49990,35,1.0,4.3,8293,876
Godrej,150,5.0,1.5,859.325,2025,32000,60900,47,1.0,4.0,622,61
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Hitachi,90,3.0,1.0,859.325,2025,30490,50700,39,1.0,4.0,2323,304
O-General,200,3.0,2.0,859.325,2025,61490,65990,6,1.0,3.0,6,1
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Hitachi,150,3.0,1.5,859.325,2025,34890,53050,34,1.0,4.0,10198,1239
Mitsubishi,200,3.0,1.9,1212.1,2024,54986,72000,23,1.0,3.4,13,1
Lloyd,150,3.0,1.5,859.325,2025,26990,43990,38,1.0,4.1,3118,334
CARRIER,150,5.0,1.5,859.325,2026,34990,58190,39,1.0,4.3,1021,112
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Mitsubishi,150,2.0,1.5,1122.45,2024,40880,49000,16,1.0,3.8,15,0
Midea,150,5.0,1.5,754.05,2023,37990,68990,44,1.0,4.3,3013,468
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Blue Star,90,3.0,0.8,544.39,2024,28490,39100,27,1.0,4.2,6546,721
Godrej,150,5.0,1.5,859.325,2025,33200,54900,39,1.0,4.0,10543,1072
Daikin,150,3.0,1.5,881.05,2022,34982,61049,42,5.0,4.2,20497,1541
Voltas,150,5.0,1.5,859.325,2025,38350,89900,57,1.0,4.2,38086,3644
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Godrej,150,5.0,1.5,728.37,2024,34350,56500,39,5.0,4.0,10543,1072
Blue Star,90,3.0,1.0,0.0,2020,30900,39000,20,1.0,3.7,4721,632
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Lloyd,150,3.0,1.5,1180.51,2023,25850,47990,46,1.0,4.1,3118,334
Voltas,200,3.0,2.0,1220.59,2024,40190,79990,49,5.0,4.1,1623,146
O-General,110,3.0,1.2,983.12,2023,29990,34590,13,1.0,4.0,24,1
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Lloyd,150,3.0,1.5,1215.35,2022,39122,40990,4,1.0,4.1,3118,334
Hitachi,90,3.0,1.0,859.325,2025,30699,48900,37,1.0,4.0,2323,304
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,5.0,1.4,690.34,2025,34350,50400,31,5.0,3.9,73,4
